Thread ID: 2151950420
Fiber ID: 2156166000
Total: 0.244291
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.12      0.001     0.000     0.000     0.000       14   Queue#initialize 
  0.11      0.000     0.000     0.000     0.000       57   Array#shift 
  0.11      0.000     0.000     0.000     0.000       14   String#scan 
  0.11      0.000     0.000     0.000     0.000      112   String#include? 
  0.11      0.000     0.000     0.000     0.000      126   Symbol#== 
  0.11      0.004     0.000     0.000     0.003       14   HTTP::Message::Headers#dump 
  0.11      0.001     0.000     0.000     0.001       56   Enumerable#find 
  0.10      0.001     0.000     0.000     0.000       27   Time#plus_with_duration 
  0.10      0.003     0.000     0.000     0.002       14   OpenURI::Meta#meta_add_field 
  0.10      0.000     0.000     0.000     0.000       39   HTTPClient#set_encoding 
  0.10      0.001     0.000     0.000     0.000       14   <Module::OpenURI::Meta>#init 
  0.10      0.003     0.000     0.000     0.003       28   HTTP::Message::Headers#[] 
  0.10      0.000     0.000     0.000     0.000      140   Nokogiri::XML::NodeSet#length 
  0.10      0.002     0.000     0.000     0.002       14   OpenURI::Meta#charset 
  0.10      0.001     0.000     0.000     0.000       43   <Class::Time>#now 
  0.10      0.000     0.000     0.000     0.000       28   Nokogiri::XML::Node#namespaces 
  0.09      0.004     0.000     0.000     0.004       14   HTTPClient::Util#urify 
  0.09      0.000     0.000     0.000     0.000       14   HTTP::Message::Headers#create_query_uri 
  0.09      0.000     0.000     0.000     0.000       14   Kernel#sprintf 
  0.09      0.000     0.000     0.000     0.000       28   HTTP::Message::Headers#status_code= 
  0.09      0.000     0.000     0.000     0.000       28   HTTP::Message#http_body= 
  0.09      0.000     0.000     0.000     0.000       28   HTTP::Message::Body#initialize 
  0.09      0.048     0.000     0.000     0.048       14   HTTPClient::Session#get_header 
  0.09      0.001     0.000     0.000     0.001       14   HTTP::Message::Body#set_content 
  0.09      0.000     0.000     0.000     0.000       14   HTTP::Message::Headers#init_response 
  0.09      0.005     0.000     0.000     0.004       14   HTTPClient::SessionManager#open 
  0.09      0.001     0.000     0.000     0.001       27   Time#compare_with_coercion 
