Thread ID: 2151950420
Fiber ID: 2156166000
Total: 0.244291
Sort by: self_time

 %self      total      self      wait     child     calls  name
Fiber ID: 2156179800
Total: 0.236076
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01      0.236     0.000     0.236     0.000        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2156179640
Fiber ID: 2156179540
Total: 0.235843
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.03      0.236     0.000     0.236     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2156179460
Fiber ID: 2156179200
Total: 0.235483
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.235     0.000     0.235     0.000        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2156179120
Fiber ID: 2153610360
Total: 0.223276
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06      0.223     0.000     0.223     0.000        1   Timeout#timeout 
  0.04      0.000     0.000     0.000     0.000        3   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152648540
Fiber ID: 2151812100
Total: 0.220469
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.03      0.220     0.000     0.220     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2151811540
Fiber ID: 2151810240
Total: 0.220126
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.001     0.000     0.001     0.000        1   Kernel#sleep 
  0.02      0.220     0.000     0.219     0.001        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2151880020
Fiber ID: 2151879700
Total: 0.217559
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01      0.218     0.000     0.218     0.000        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151879400
Fiber ID: 2151879300
Total: 0.217298
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02      0.217     0.000     0.217     0.000        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151878780
Fiber ID: 2151878640
Total: 0.217022
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02      0.217     0.000     0.217     0.000        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151878440
Fiber ID: 2151878280
Total: 0.216766
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.217     0.000     0.217     0.000        1   Timeout#timeout 
  0.02      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151809680
Fiber ID: 2151845440
Total: 0.201829
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.03      0.202     0.000     0.202     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2151842180
Fiber ID: 2151855340
Total: 0.201476
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.002     0.000     0.002     0.000        1   Kernel#sleep 
  0.02      0.201     0.000     0.200     0.002        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2151895700
Fiber ID: 2151895440
Total: 0.198271
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.198     0.000     0.198     0.000        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151895140
Fiber ID: 2151895000
Total: 0.198015
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02      0.198     0.000     0.198     0.000        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151911060
Fiber ID: 2151924280
Total: 0.194971
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.03      0.195     0.000     0.195     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2151939880
Fiber ID: 2151939260
Total: 0.194513
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.002     0.000     0.001     0.000        1   Kernel#sleep 
  0.02      0.195     0.000     0.193     0.002        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2151939720
Fiber ID: 2151924060
Total: 0.180228
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.02      0.180     0.000     0.180     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152047780
Fiber ID: 2152084800
Total: 0.174582
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.04      0.175     0.000     0.174     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152083480
Fiber ID: 2152099540
Total: 0.174238
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.001     0.000     0.001     0.000        1   Kernel#sleep 
  0.02      0.174     0.000     0.173     0.001        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152173520
Fiber ID: 2152173240
Total: 0.171758
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02      0.172     0.000     0.172     0.000        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152217480
Fiber ID: 2152217100
Total: 0.171551
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.02      0.172     0.000     0.171     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152286180
Fiber ID: 2152236420
Total: 0.152584
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.05      0.153     0.000     0.152     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152237720
Fiber ID: 2152210140
Total: 0.152196
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.001     0.000     0.001     0.000        1   Kernel#sleep 
  0.02      0.152     0.000     0.151     0.001        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2151868760
Fiber ID: 2151868520
Total: 0.149779
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02      0.150     0.000     0.150     0.000        1   Timeout#timeout 
  0.00      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151868280
Fiber ID: 2151868100
Total: 0.149535
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.150     0.000     0.149     0.000        1   Timeout#timeout 
  0.03      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152106760
Fiber ID: 2152100080
Total: 0.142535
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.04      0.143     0.000     0.142     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152099680
Fiber ID: 2152115720
Total: 0.142167
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.001     0.000     0.001     0.000        1   Kernel#sleep 
  0.02      0.142     0.000     0.141     0.001        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152252560
Fiber ID: 2152252480
Total: 0.139800
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.02      0.140     0.000     0.140     0.000        1   Timeout#timeout 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152252340
Fiber ID: 2152286180
Total: 0.127792
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.03      0.128     0.000     0.128     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152049560
Fiber ID: 2152088020
Total: 0.121919
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.04      0.122     0.000     0.122     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152087220
Fiber ID: 2152086500
Total: 0.121618
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.122     0.000     0.120     0.002        1   Timeout#timeout 
  0.05      0.002     0.000     0.001     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152213000
Fiber ID: 2152211960
Total: 0.119120
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.119     0.000     0.119     0.000        1   Timeout#timeout 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152211460
Fiber ID: 2152211360
Total: 0.118881
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.119     0.000     0.119     0.000        1   Timeout#timeout 
  0.04      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152314280
Fiber ID: 2152382900
Total: 0.111644
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.06      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.04      0.112     0.000     0.111     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152380600
Fiber ID: 2152130860
Total: 0.111296
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09      0.111     0.000     0.110     0.002        1   Timeout#timeout 
  0.08      0.002     0.000     0.001     0.000        2   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152381700
Fiber ID: 2152360600
Total: 0.095923
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.096     0.000     0.096     0.000        1   Timeout#timeout 
  0.04      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151893180
Fiber ID: 2151909860
Total: 0.090260
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.09      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.07      0.090     0.000     0.090     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2151909400
Fiber ID: 2151907680
Total: 0.089928
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.001     0.000     0.001     0.000        1   Kernel#sleep 
  0.05      0.090     0.000     0.089     0.001        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152107280
Fiber ID: 2152107100
Total: 0.087499
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.087     0.000     0.087     0.000        1   Timeout#timeout 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152106540
Fiber ID: 2152106080
Total: 0.087262
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.087     0.000     0.087     0.000        1   Timeout#timeout 
  0.05      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152099780
Fiber ID: 2152180020
Total: 0.084194
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.06      0.084     0.000     0.084     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152179300
Fiber ID: 2152508340
Total: 0.071458
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.21      0.002     0.000     0.002     0.000        2   Kernel#sleep 
  0.18      0.071     0.000     0.070     0.002        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2151845440
Fiber ID: 2151844040
Total: 0.068584
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.05      0.069     0.000     0.069     0.000        1   Timeout#timeout 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151866000
Fiber ID: 2151865580
Total: 0.068292
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.04      0.068     0.000     0.068     0.000        1   Timeout#timeout 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151864840
Fiber ID: 2151864660
Total: 0.068053
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.11      0.068     0.000     0.068     0.000        1   Timeout#timeout 
  0.05      0.000     0.000     0.000     0.000        2   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151863440
Fiber ID: 2151862920
Total: 0.067752
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.068     0.000     0.068     0.000        1   Timeout#timeout 
  0.03      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151862640
Fiber ID: 2151862180
Total: 0.067448
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.08      0.067     0.000     0.067     0.000        1   Timeout#timeout 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151861600
Fiber ID: 2151860920
Total: 0.067201
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.067     0.000     0.067     0.000        1   Timeout#timeout 
  0.01      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152051360
Fiber ID: 2152089040
Total: 0.049802
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.17      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.12      0.050     0.000     0.050     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152088000
Fiber ID: 2152087220
Total: 0.049453
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.13      0.001     0.000     0.001     0.000        1   Kernel#sleep 
  0.08      0.049     0.000     0.048     0.001        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152173820
Fiber ID: 2152173640
Total: 0.046913
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.07      0.047     0.000     0.047     0.000        1   Timeout#timeout 
  0.02      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152173300
Fiber ID: 2152173220
Total: 0.046668
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.17      0.047     0.000     0.046     0.000        1   Timeout#timeout 
  0.08      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152286220
Fiber ID: 2152280060
Total: 0.039574
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.35      0.040     0.000     0.038     0.001        1   Timeout#timeout 
  0.25      0.001     0.000     0.001     0.000        2   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151848280
Fiber ID: 2151844820
Total: 0.025828
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.14      0.026     0.000     0.026     0.000        1   Timeout#timeout 
  0.03      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2151842100
Fiber ID: 2151866120
Total: 0.025570
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.18      0.026     0.000     0.026     0.000        1   Timeout#timeout 
  0.03      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152099460
Fiber ID: 2152105940
Total: 0.018702
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.36      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.24      0.019     0.000     0.019     0.000        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152105620
Fiber ID: 2152105440
Total: 0.018401
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.49      0.001     0.000     0.001     0.000        1   Kernel#sleep 
  0.19      0.018     0.000     0.017     0.001        1   Timeout#timeout 

* indicates recursively called methods
Thread ID: 2152230280
Fiber ID: 2152229940
Total: 0.016170
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.20      0.016     0.000     0.016     0.000        1   Timeout#timeout 
  0.05      0.000     0.000     0.000     0.000        1   Kernel#sleep 

* indicates recursively called methods
Thread ID: 2152245560
Fiber ID: 2152279560
Total: 0.004138
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.61      0.000     0.000     0.000     0.000        1   Kernel#sleep 
  0.97      0.004     0.000     0.004     0.000        1   Timeout#timeout 

* indicates recursively called methods
